SOC,OCV0,OCVrel
0.0,2.814707791805265,-0.0001870894432066952
0.005,2.938684465935784,-0.0008902035851797269
0.01,3.0151699685915854,-0.0007774134838430884
0.015,3.074111962051018,-0.000671882674993427
0.02,3.1254405445302895,-0.0006158870383035435
0.025,3.170819366101336,-0.000572256787112586
0.03,3.211318183832678,-0.000530431264305014
0.035,3.2476335566665933,-0.0005001832497068308
0.04,3.280614771567701,-0.00048056837437260384
0.045,3.310924382808319,-0.00046718677116765124
0.05,3.338493127190899,-0.00044547679879188706
0.055,3.363987258466541,-0.0004273287213433409
0.06,3.3878068892768,-0.00041952648304692487
0.065,3.409757161142811,-0.00040841027289444505
0.07,3.4303406647773755,-0.00039915012503048973
0.075,3.4496133283643333,-0.0003919297199243658
0.08,3.467459890429142,-0.0003805595811088913
0.085,3.4841935697292996,-0.00036975383269216816
0.09,3.500100647692336,-0.00036532194320341505
0.095,3.513984765400061,-0.0003342713641508551
0.1,3.5256587635854526,-0.00028386951460360963
0.105,3.5330752920111825,-0.00016993855158835104
0.11,3.5364062977364816,-4.1855077226459234e-05
0.115,3.5385276395465906,2.28707317542157e-05
0.12,3.540784875167699,4.054744286078204e-05
0.125,3.5431658512665503,4.21005868739539e-05
0.13,3.545501512453539,4.0309517727036965e-05
0.135,3.547970595309453,3.5339046114445956e-05
0.14,3.5506172418082005,2.9231684217295606e-05
0.145,3.553232471549324,2.5475976977630224e-05
0.15,3.5560206198873336,1.8962543097821092e-05
0.155,3.558990844536757,1.3805631468550016e-05
0.16,3.562227320967263,3.1053752162350477e-06
0.165,3.565710787338328,-1.2003128948959897e-05
0.17,3.569232039771739,-1.6772628424783265e-05
0.17500000000000002,3.573449436086801,-3.6398413199277175e-05
0.18,3.577525436136218,-4.455576877481533e-05
0.185,3.5823575923042434,-6.131606393233373e-05
0.19,3.5874441452230577,-7.52620698300076e-05
0.195,3.5928072559865125,-8.461989018630771e-05
0.2,3.5985576572041977,-9.675419213893764e-05
0.20500000000000002,3.6043908661619297,-0.00010426615996896653
0.21,3.6103777315457797,-0.00010760143861439304
0.215,3.6163175179090135,-0.00010314692637876452
0.22,3.622536142257997,-0.00010763632763242782
0.225,3.6284118602619344,-9.499878572033575e-05
0.23,3.634349837453902,-9.126065157122153e-05
